"","text","emotion","polarity"
"1","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"2","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"3","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"4","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"5","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"6","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"7","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"8","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"9","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"10","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"11","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17","disgust","positive"
"12","china relevant vaccine companies are communicating with who hopes sinovac can be included in covax at an early date sinovac covax","surprise","positive"
"13","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"14","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"15","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"16","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"17","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"18","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of","joy","neutral"
"19","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"20","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"21","middle east what is the vaccination policy in your country 

 from over 120 countries are discussi","surprise","positive"
"22","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"23","i checked the data of pfizers trial and i think it is alarming that only 169 of 20172 in placebo group","fear","negative"
"24","why people would risk if adverse reactions after covid19 vaccine being repoed in many places of india

better","fear","negative"
