"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @China2ASEAN: #China-developed #COVID19 #vaccines have received a large number of orders from all over the world.  As of Jan.17, 18 coun…",FALSE,0,NA,2021-01-20 11:42:12,FALSE,NA,"1351857557334351873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ADCN16",9,TRUE,FALSE,NA,NA
"2","@moosa @MohamedNasheed @PMOIndia @DrSJaishankar @HCIMaldives They should go for #Sinovac 😂😂",FALSE,0,"moosa",2021-01-20 11:37:33,FALSE,"1351824741657501697","1351856388205539330","7735392","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","newsbreakasia",0,FALSE,FALSE,NA,NA
"3","@MohamedNasheed How many Maldivians want the China 🇨🇳 made #Sinovac over India 🇮🇳 Made #Covishield ?
#mvPolls",FALSE,0,"MohamedNasheed",2021-01-20 11:23:20,FALSE,"1351845317495279619","1351852808341913600","558739638","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PollsMaldives",0,FALSE,FALSE,NA,NA
"4","RT @IlkhaAgency: Turkey’s Coronavirus Scientific Advisory Board to convene today #outbreakcovid @drfahrettinkoca #Sinovac #Corona #bilimkur…",FALSE,0,NA,2021-01-20 10:56:44,FALSE,NA,"1351846116426395648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mehmetemin2112",1,TRUE,FALSE,NA,NA
"5","Turkey’s Coronavirus Scientific Advisory Board to convene today #outbreakcovid @drfahrettinkoca #Sinovac #Corona… https://t.co/xdCM6HY7GX",FALSE,1,NA,2021-01-20 10:50:00,TRUE,NA,"1351844419507417090",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IlkhaAgency",1,FALSE,FALSE,NA,NA
"6","RT @MayWongCNA: @SaksithCNA @Thanathorn_FWP #Thailand plans to buy a total of 63 million doses of #COVID19 #vaccines like those of #China #…",FALSE,0,NA,2021-01-20 10:47:51,FALSE,NA,"1351843880900063233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chacadriox",17,TRUE,FALSE,NA,NA
"7","Got my first shot..!! what about you..??
💉💉💉
 
#byecorona #sukseskanvaksinasi #sinovac #bogorseniorhospital @ Bogor… https://t.co/S0OJQOAJSM",FALSE,0,NA,2021-01-20 10:35:22,TRUE,NA,"1351840738166927360",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","elizabeth_vivin",0,FALSE,FALSE,"106.83336868","-6.64209527"
"8","Efficacy estimates for Chinese #Covid19vaccines diverge widely. #Sinopharm claims 79% without providing details on… https://t.co/ADpc7TG76Z",FALSE,0,NA,2021-01-20 10:30:00,TRUE,NA,"1351839388112547840",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CHEManager_EU",0,FALSE,FALSE,NA,NA
"9","RT @MayWongCNA: @SaksithCNA @Thanathorn_FWP #Thailand plans to buy a total of 63 million doses of #COVID19 #vaccines like those of #China #…",FALSE,0,NA,2021-01-20 10:20:45,FALSE,NA,"1351837058667474946",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","douxxk_",17,TRUE,FALSE,NA,NA
"10","RT @MayWongCNA: @SaksithCNA @Thanathorn_FWP #Thailand plans to buy a total of 63 million doses of #COVID19 #vaccines like those of #China #…",FALSE,0,NA,2021-01-20 10:13:42,FALSE,NA,"1351835286649663489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spkmind3",17,TRUE,FALSE,NA,NA
"11","RT @MayWongCNA: @SaksithCNA @Thanathorn_FWP #Thailand plans to buy a total of 63 million doses of #COVID19 #vaccines like those of #China #…",FALSE,0,NA,2021-01-20 10:11:49,FALSE,NA,"1351834812881928194",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gffy92",17,TRUE,FALSE,NA,NA
"12","RT @China2ASEAN: #China-developed #COVID19 #vaccines have received a large number of orders from all over the world.  As of Jan.17, 18 coun…",FALSE,0,NA,2021-01-20 10:11:46,FALSE,NA,"1351834796469620742",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","C0000008",9,TRUE,FALSE,NA,NA
