"","text","emotion","polarity"
"1","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"2","they should go for sinovac","surprise","positive"
"3","how many maldivians want the chinamade sinovac over indiamade covishield 
mvpolls","sadness","positive"
"4","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur","joy","positive"
"5","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona","joy","positive"
"6","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"7","got my first shot what about you

 
byecorona sukseskanvaksinasi sinovac bogorseniorhospitalbogor","anger","positive"
"8","efficacy estimates for chinese covid19vaccines diverge widely sinopharm claims 79 without providing details on","surprise","negative"
"9","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"10","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"11","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"12","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"13","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas vaccine de","fear","positive"
"14","at least three chinese vaccine developers sinovac sinopharm and cansino have submitted applications to supp","disgust","negative"
"15","make it

show the world how our own government is defrauding its citizens","anger","negative"
"16","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"17","russias coronavirus death toll rises to 67220 russia coronavirus carsambacovid19 sinovac
","anger","negative"
"18","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur","joy","positive"
"19","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"20","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"21","the uae began latestage trials in july with 31000 volunteers bahrain staed its own trial in august both auth","joy","negative"
"22","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"23","russias coronavirus death toll rises to 67220 russia coronavirus carsambacovid19 sinovac","anger","negative"
"24","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur","joy","positive"
"25","how many covid19 vaccines has each manufacturer soldt

covid19vaccine covidvaccine sinovac pfizer biontech moderna","surprise","positive"
"26","so as good as two doses of sinovac","anger","positive"
"27","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur","joy","positive"
"28","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"29","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"30","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"31","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"32","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"33","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"34","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun","disgust","negative"
"35","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
"36","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china","joy","neutral"
