"","x"
"1","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"2","they should go for sinovac"
"3","how many maldivians want the chinamade sinovac over indiamade covishield 
mvpolls"
"4","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur"
"5","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona"
"6","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"7","got my first shot what about you

 
byecorona sukseskanvaksinasi sinovac bogorseniorhospitalbogor"
"8","efficacy estimates for chinese covid19vaccines diverge widely sinopharm claims 79 without providing details on"
"9","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"10","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"11","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"12","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"13","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas vaccine de"
"14","at least three chinese vaccine developers sinovac sinopharm and cansino have submitted applications to supp"
"15","make it

show the world how our own government is defrauding its citizens"
"16","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"17","russias coronavirus death toll rises to 67220 russia coronavirus carsambacovid19 sinovac
"
"18","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur"
"19","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"20","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"21","the uae began latestage trials in july with 31000 volunteers bahrain staed its own trial in august both auth"
"22","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"23","russias coronavirus death toll rises to 67220 russia coronavirus carsambacovid19 sinovac"
"24","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur"
"25","how many covid19 vaccines has each manufacturer soldt

covid19vaccine covidvaccine sinovac pfizer biontech moderna"
"26","so as good as two doses of sinovac"
"27","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona bilimkur"
"28","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"29","some of the orders for sinovac sinopharm vaccines"
"30","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"31","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"32","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"33","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"34","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"35","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"36","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"37","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"38","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17"
"39","china relevant vaccine companies are communicating with who hopes sinovac can be included in covax at an early date sinovac covax"
"40","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"41","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"42","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"43","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"44","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"45","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of"
"46","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"47","some of the orders for sinovac sinopharm vaccines"
"48","middle east what is the vaccination policy in your country 

 from over 120 countries are discussi"
"49","i dont know about others
i will wait for coronavac by sinovac"
"50","i checked the data of pfizers trial and i think it is alarming that only 169 of 20172 in placebo group"
"51","why people would risk if adverse reactions after covid19 vaccine being repoed in many places of india

better"
"52","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona"
"53","sinovac no more effective than mampms"
"54","oh come on duteedont act like youre not already vaccinated oustduteenow sinovac"
"55","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"56","oh come on duteedont act like youre not already vaccinated oustduteenow sinovac"
"57","china is responding to criticism of the efficacy of its coronavirus shot with an aggressive disinformation campaign"
"58","i dont know about others
i will wait for coronavac by sinovac"
"59","some of the orders for sinovac sinopharm vaccines"
"60","philippines and indonesia back chinese covid jab despite efficacy doubtssinovac"
"61","some of the orders for sinovac sinopharm vaccines"
"62","some of the orders for sinovac sinopharm vaccines"
"63","china is committed to strengthening international vaccine cooperation

chinese covid19 vaccines have received a"
"64","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur"
"65","some of the orders for sinovac sinopharm vaccines"
"66","some of the orders for sinovac sinopharm vaccines"
"67","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"68","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"69","sinovacpls dont"
"70","hi my friend very welcome
thank you for sharing
coimbra pougal
coimbrasummit 
by reuters sta"
"71","within 3 days after turkey launched the vaccination program more than 675000 medical staff were vaccinated wit"
"72","chinas sinovac vaccine is rolling out around the world will it work

it all depends on how you define effica"
"73","excellent if true

chinas sinovac biotech said that a clinical trial in brazil showed its covid19 vaccine"
"74","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
