"","x"
"1","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"2","some of the orders for sinovac sinopharm vaccines"
"3","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"4","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"5","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"6","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"7","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"8","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"9","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"10","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17 18 coun"
"11","chinadeveloped covid19 vaccines have received a large number of orders from all over the worldas of jan17"
"12","china relevant vaccine companies are communicating with who hopes sinovac can be included in covax at an early date sinovac covax"
"13","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"14","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"15","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"16","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"17","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of china"
"18","thailand plans to buy a total of 63 million doses of covid19 vaccines like those of"
"19","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"20","some of the orders for sinovac sinopharm vaccines"
"21","middle east what is the vaccination policy in your country 

 from over 120 countries are discussi"
"22","i dont know about others
i will wait for coronavac by sinovac"
"23","i checked the data of pfizers trial and i think it is alarming that only 169 of 20172 in placebo group"
"24","why people would risk if adverse reactions after covid19 vaccine being repoed in many places of india

better"
"25","turkeys coronavirus scientific advisory board to convene today outbreakcovidsinovac corona"
"26","sinovac no more effective than mampms"
"27","oh come on duteedont act like youre not already vaccinated oustduteenow sinovac"
"28","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"29","oh come on duteedont act like youre not already vaccinated oustduteenow sinovac"
"30","china is responding to criticism of the efficacy of its coronavirus shot with an aggressive disinformation campaign"
"31","i dont know about others
i will wait for coronavac by sinovac"
"32","some of the orders for sinovac sinopharm vaccines"
"33","philippines and indonesia back chinese covid jab despite efficacy doubtssinovac"
